miles,place,geoid,lat,lon,lsad
1.0,Kissimmee city,1236950,28.30278,-81.417831,25
3.5,Campbell CDP,1209875,28.259287,-81.450841,57
4.4,Buenaventura Lakes CDP,1209415,28.333421,-81.352159,57
5.0,Hunters Creek CDP,1232967,28.359757,-81.437045,57
6.1,Southchase CDP,1267270,28.379244,-81.390255,57
7.2,Meadow Woods CDP,1243800,28.372902,-81.333706,57
7.9,Williamsburg CDP,1277735,28.401262,-81.447802,57
8.5,St. Cloud city,1262625,28.235225,-81.283958,25
8.8,Celebration CDP,1211285,28.310344,-81.55106,57
9.2,Lake Buena Vista city,1237625,28.377311,-81.524813,25
9.7,Taft CDP,1270525,28.428337,-81.367669,57
10.6,Loughman CDP,1241400,28.237997,-81.569837,57
11.5,Pine Castle CDP,1256500,28.454666,-81.369572,57
11.6,Doctor Phillips CDP,1217725,28.443262,-81.490542,57
11.6,Tangelo Park CDP,1271075,28.455999,-81.446441,57
11.7,Sky Lake CDP,1266425,28.461272,-81.390465,57
12.3,Lake Hart CDP,1238012,28.38128,-81.231847,57
12.3,Orlando city,1253000,28.40865,-81.254805,25
12.4,Bay Lake city,1204150,28.389224,-81.578369,25
12.4,Belle Isle city,1205300,28.464935,-81.351253,25
12.5,Oak Ridge CDP,1250638,28.472766,-81.416685,57
12.7,Poinciana CDP,1257900,28.118729,-81.479234,57
13.3,Edgewood city,1219900,28.48151,-81.370131,25
13.5,Bay Hill CDP,1204070,28.462372,-81.514793,57
14.3,Holden Lakes CDP,1231030,28.498555,-81.384594,57
14.9,Conway CDP,1214050,28.496937,-81.333042,57
14.9,Four Corners CDP,1224581,28.333179,-81.647492,57
15.3,Davenport city,1216450,28.161193,-81.610839,25
15.6,Lake Mary Jane CDP,1238430,28.37897,-81.170158,57
15.7,Holden Heights CDP,1231025,28.51954,-81.400187,57
16.2,Horizon West CDP,1232610,28.44022,-81.613449,57
16.4,Windermere town,1278050,28.501582,-81.535159,43
16.6,Lake Butler CDP,1237648,28.498283,-81.548243,57
17.7,Orlovista CDP,1253100,28.544055,-81.462937,57
17.8,Gotha CDP,1226900,28.530986,-81.516577,57
17.8,Haines City city,1228400,28.112817,-81.616537,25
18.0,Rio Pinar CDP,1260562,28.519131,-81.261196,57
