"STATION","NAME","DATE","MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-NORMAL","MLY-TAVG-NORMAL","MLY-TMAX-NORMAL","MLY-TMIN-NORMAL"
"USC00084625","KISSIMMEE 2, FL US","01","7.6","4.1","2.67","    60.1","71.8","48.3"
"USC00084625","KISSIMMEE 2, FL US","02","6.5","4.0","2.37","    62.6","74.4","50.7"
"USC00084625","KISSIMMEE 2, FL US","03","6.2","4.2","3.07","    66.1","77.9","54.4"
"USC00084625","KISSIMMEE 2, FL US","04","5.7","3.6","2.43","    71.4","83.0","59.7"
"USC00084625","KISSIMMEE 2, FL US","05","7.8","5.7","4.17","    76.6","87.4","65.8"
"USC00084625","KISSIMMEE 2, FL US","06","15.8","12.3","9.18","    80.9","90.0","71.8"
"USC00084625","KISSIMMEE 2, FL US","07","16.7","12.2","7.21","    82.5","91.5","73.5"
"USC00084625","KISSIMMEE 2, FL US","08","17.7","13.0","8.38","    82.7","91.4","74.1"
"USC00084625","KISSIMMEE 2, FL US","09","14.3","9.5","5.88","    81.1","89.5","72.8"
"USC00084625","KISSIMMEE 2, FL US","10","8.7","5.7","3.07","    75.4","84.6","66.2"
"USC00084625","KISSIMMEE 2, FL US","11","5.8","3.1","1.99","    67.9","78.6","57.3"
"USC00084625","KISSIMMEE 2, FL US","12","6.5","3.5","2.15","    62.5","73.5","51.5"
