"STATION","DATE","MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-NORMAL","MLY-TAVG-NORMAL","MLY-TMAX-NORMAL","MLY-TMIN-NORMAL"
"USW00012815","01","7.0","4.0","2.48","    60.6","71.8","49.5"
"USW00012815","02","6.4","3.8","2.04","    63.6","74.9","52.4"
"USW00012815","03","6.8","4.0","3.03","    67.3","78.9","55.8"
"USW00012815","04","6.3","3.9","2.58","    72.2","83.6","60.7"
"USW00012815","05","8.4","5.7","4.02","    77.3","88.4","66.3"
"USW00012815","06","16.2","11.5","8.05","    81.2","90.8","71.6"
"USW00012815","07","17.1","11.5","7.46","    82.6","92.0","73.2"
"USW00012815","08","17.2","11.5","7.69","    82.6","91.6","73.7"
"USW00012815","09","14.2","9.2","6.37","    81.0","89.6","72.4"
"USW00012815","10","8.4","5.3","3.46","    75.5","84.7","66.2"
"USW00012815","11","6.0","3.0","1.79","    68.2","78.3","58.2"
"USW00012815","12","7.1","3.7","2.48","    63.3","73.8","52.9"
