date,concrete contractor,pavers,concrete driveway,paver sealing,stamped concrete,isPartial
2021-09-05,0,73,0,0,7,False
2021-09-12,0,83,9,0,0,False
2021-09-19,0,77,9,0,0,False
2021-09-26,0,69,10,8,0,False
2021-10-03,0,79,12,0,0,False
2021-10-10,0,68,15,0,0,False
2021-10-17,0,73,13,0,0,False
2021-10-24,0,61,11,0,0,False
2021-10-31,0,80,10,0,0,False
2021-11-07,0,52,0,0,0,False
2021-11-14,0,71,10,0,0,False
2021-11-21,0,53,0,0,0,False
2021-11-28,0,54,0,0,0,False
2021-12-05,0,53,8,0,0,False
2021-12-12,0,58,11,0,0,False
2021-12-19,0,33,8,0,0,False
2021-12-26,0,54,0,0,0,False
2022-01-02,0,60,0,0,0,False
2022-01-09,0,76,8,9,0,False
2022-01-16,0,70,0,0,0,False
2022-01-23,0,55,0,0,0,False
2022-01-30,0,54,15,0,0,False
2022-02-06,0,61,8,0,0,False
2022-02-13,0,75,11,6,0,False
2022-02-20,0,74,9,0,0,False
2022-02-27,0,75,9,0,0,False
2022-03-06,0,74,0,0,0,False
2022-03-13,0,74,12,0,0,False
2022-03-20,0,83,13,0,0,False
2022-03-27,0,79,8,0,0,False
2022-04-03,0,82,9,0,0,False
2022-04-10,0,72,8,0,0,False
2022-04-17,0,79,0,0,0,False
2022-04-24,0,92,16,0,0,False
2022-05-01,0,83,10,0,0,False
2022-05-08,0,75,9,0,0,False
2022-05-15,0,82,10,0,0,False
2022-05-22,0,78,7,0,0,False
2022-05-29,0,67,10,0,0,False
2022-06-05,0,72,0,0,0,False
2022-06-12,0,78,9,0,0,False
2022-06-19,0,84,0,0,0,False
2022-06-26,0,75,7,0,0,False
2022-07-03,0,71,0,0,0,False
2022-07-10,0,75,9,0,0,False
2022-07-17,0,65,8,0,0,False
2022-07-24,0,68,11,0,0,False
2022-07-31,0,63,11,0,0,False
2022-08-07,0,65,8,0,0,False
2022-08-14,0,71,7,0,0,False
2022-08-21,0,67,6,0,0,False
2022-08-28,0,67,7,0,0,False
2022-09-04,0,62,0,0,0,False
2022-09-11,0,60,8,0,0,False
2022-09-18,0,64,6,0,0,False
2022-09-25,0,37,0,0,0,False
2022-10-02,0,64,0,0,0,False
2022-10-09,0,62,7,0,0,False
2022-10-16,0,69,0,0,0,False
2022-10-23,0,58,0,0,0,False
2022-10-30,0,52,0,0,0,False
2022-11-06,0,47,0,0,0,False
2022-11-13,0,45,7,0,0,False
2022-11-20,0,35,0,0,0,False
2022-11-27,0,51,6,0,0,False
2022-12-04,9,59,0,0,0,False
2022-12-11,0,52,0,0,0,False
2022-12-18,0,39,0,0,0,False
2022-12-25,0,43,0,0,0,False
2023-01-01,0,62,0,0,0,False
2023-01-08,0,63,9,0,0,False
2023-01-15,0,53,8,7,0,False
2023-01-22,0,70,10,0,0,False
2023-01-29,0,65,0,0,0,False
2023-02-05,0,63,8,0,0,False
2023-02-12,0,61,11,0,0,False
2023-02-19,0,69,8,0,0,False
2023-02-26,0,72,9,0,0,False
2023-03-05,0,68,9,0,0,False
2023-03-12,0,68,8,0,0,False
2023-03-19,0,72,8,0,0,False
2023-03-26,0,78,0,7,0,False
2023-04-02,0,73,9,0,6,False
2023-04-09,0,68,0,0,0,False
2023-04-16,0,77,7,0,8,False
