date,pool deck,travertine,epoxy garage floor,stucco repair,concrete repair,isPartial
2021-09-05,38,27,0,0,0,False
2021-09-12,34,37,0,0,16,False
2021-09-19,34,25,0,15,0,False
2021-09-26,37,33,16,0,0,False
2021-10-03,29,22,16,0,23,False
2021-10-10,22,0,0,0,0,False
2021-10-17,31,31,16,0,0,False
2021-10-24,32,20,16,0,16,False
2021-10-31,24,18,0,0,0,False
2021-11-07,23,0,0,0,20,False
2021-11-14,0,22,16,0,0,False
2021-11-21,15,22,0,0,0,False
2021-11-28,15,22,0,15,0,False
2021-12-05,0,15,0,0,0,False
2021-12-12,25,16,0,0,0,False
2021-12-19,19,0,0,0,0,False
2021-12-26,29,0,0,0,0,False
2022-01-02,36,20,0,0,19,False
2022-01-09,24,25,0,0,0,False
2022-01-16,29,22,0,0,0,False
2022-01-23,28,24,0,0,0,False
2022-01-30,21,43,0,0,0,False
2022-02-06,36,24,0,0,0,False
2022-02-13,49,41,0,13,0,False
2022-02-20,30,25,0,0,0,False
2022-02-27,51,29,13,0,13,False
2022-03-06,39,16,0,16,24,False
2022-03-13,52,25,17,0,0,False
2022-03-20,48,19,0,0,0,False
2022-03-27,52,20,0,16,11,False
2022-04-03,45,36,17,15,0,False
2022-04-10,51,30,0,29,0,False
2022-04-17,57,28,11,0,0,False
2022-04-24,59,22,0,12,0,False
2022-05-01,61,26,0,0,0,False
2022-05-08,57,36,16,0,0,False
2022-05-15,59,25,0,0,14,False
2022-05-22,48,17,0,0,0,False
2022-05-29,46,19,0,0,0,False
2022-06-05,44,17,0,0,0,False
2022-06-12,49,26,14,0,0,False
2022-06-19,36,28,22,0,0,False
2022-06-26,45,0,0,0,0,False
2022-07-03,46,21,15,0,0,False
2022-07-10,44,14,14,0,0,False
2022-07-17,41,0,0,0,0,False
2022-07-24,40,16,0,0,0,False
2022-07-31,52,22,0,0,0,False
2022-08-07,46,16,0,15,0,False
2022-08-14,36,34,14,0,0,False
2022-08-21,30,25,0,14,0,False
2022-08-28,33,19,0,0,0,False
2022-09-04,27,19,13,0,0,False
2022-09-11,30,19,16,20,0,False
2022-09-18,24,0,13,0,0,False
2022-09-25,31,0,0,0,0,False
2022-10-02,34,19,0,0,0,False
2022-10-09,23,18,0,14,0,False
2022-10-16,26,26,0,0,0,False
2022-10-23,24,0,0,0,0,False
2022-10-30,29,14,15,0,0,False
2022-11-06,15,23,0,0,0,False
2022-11-13,28,16,0,0,14,False
2022-11-20,24,0,0,14,0,False
2022-11-27,33,0,0,0,0,False
2022-12-04,34,17,14,14,0,False
2022-12-11,29,22,18,0,0,False
2022-12-18,20,0,16,0,0,False
2022-12-25,14,19,24,0,0,False
2023-01-01,26,13,0,0,0,False
2023-01-08,23,17,0,0,0,False
2023-01-15,21,19,0,13,0,False
2023-01-22,39,24,14,0,19,False
2023-01-29,31,18,15,0,0,False
2023-02-05,41,18,19,0,0,False
2023-02-12,27,13,0,0,0,False
2023-02-19,53,18,0,15,0,False
2023-02-26,40,18,19,0,0,False
2023-03-05,49,29,0,0,0,False
2023-03-12,41,24,0,0,0,False
2023-03-19,36,20,0,16,0,False
2023-03-26,40,21,0,0,0,False
2023-04-02,47,14,0,0,0,False
2023-04-09,35,20,0,0,0,False
2023-04-16,46,37,16,0,0,False
2023-04-23,49,20,0,0,0,False
2023-04-30,35,18,0,0,0,False
2023-05-07,46,20,16,15,14,False
2023-05-14,47,23,14,0,0,False
2023-05-21,62,24,0,17,0,False
2023-05-28,54,16,0,0,0,False
2023-06-04,51,28,0,0,0,False
2023-06-11,33,15,0,0,0,False
2023-06-18,40,20,0,0,0,False
2023-06-25,50,21,0,0,0,False
2023-07-02,38,34,0,0,0,False
2023-07-09,44,17,0,0,0,False
2023-07-16,40,22,15,0,0,False
2023-07-23,43,21,0,0,0,False
2023-07-30,38,20,16,0,0,False
2023-08-06,44,22,0,0,0,False
2023-08-13,36,18,0,0,0,False
2023-08-20,28,19,0,0,0,False
2023-08-27,42,17,0,0,0,False
2023-09-03,31,16,15,0,0,False
2023-09-10,36,0,0,0,0,False
2023-09-17,23,15,0,0,14,False
2023-09-24,18,22,0,0,0,False
2023-10-01,24,20,0,0,0,False
2023-10-08,25,15,0,0,0,False
2023-10-15,26,20,0,0,0,False
2023-10-22,29,25,0,0,0,False
2023-10-29,27,0,0,0,0,False
2023-11-05,26,17,0,0,0,False
2023-11-12,26,26,0,0,14,False
2023-11-19,19,0,0,0,0,False
2023-11-26,24,18,0,0,0,False
2023-12-03,18,25,16,0,0,False
2023-12-10,15,21,16,0,0,False
2023-12-17,20,0,20,0,0,False
2023-12-24,19,0,0,15,0,False
2023-12-31,18,0,0,0,0,False
2024-01-07,29,0,0,0,0,False
2024-01-14,30,17,0,0,14,False
2024-01-21,19,0,0,0,0,False
2024-01-28,35,0,0,0,0,False
2024-02-04,38,20,16,19,0,False
2024-02-11,25,19,29,0,0,False
2024-02-18,43,16,23,0,0,False
2024-02-25,44,16,16,14,0,False
2024-03-03,31,19,0,0,0,False
2024-03-10,40,26,0,0,0,False
2024-03-17,38,17,19,0,0,False
2024-03-24,28,0,0,0,0,False
2024-03-31,47,15,0,0,0,False
2024-04-07,39,26,15,0,0,False
2024-04-14,32,35,23,25,0,False
2024-04-21,42,30,0,0,25,False
2024-04-28,44,37,0,0,0,False
2024-05-05,57,21,0,0,0,False
2024-05-12,69,23,0,0,23,False
2024-05-19,41,23,26,0,0,False
2024-05-26,61,19,23,0,0,False
2024-06-02,42,17,17,0,0,False
2024-06-09,57,16,0,0,0,False
2024-06-16,55,0,18,0,0,False
2024-06-23,46,18,15,0,0,False
2024-06-30,69,24,20,0,0,False
2024-07-07,44,28,0,0,0,False
2024-07-14,33,24,18,0,0,False
2024-07-21,43,21,0,0,0,False
2024-07-28,33,16,16,0,0,False
2024-08-04,32,18,0,0,0,False
2024-08-11,41,21,16,0,0,False
2024-08-18,28,25,16,0,0,False
2024-08-25,39,19,0,0,0,False
2024-09-01,28,31,0,0,0,False
2024-09-08,39,23,0,16,0,False
2024-09-15,24,0,16,0,0,False
2024-09-22,45,24,0,0,0,False
2024-09-29,23,19,0,0,0,False
2024-10-06,22,0,0,15,16,False
2024-10-13,57,23,0,0,0,False
2024-10-20,19,24,0,0,0,False
2024-10-27,31,0,0,0,0,False
2024-11-03,26,36,0,0,0,False
2024-11-10,38,19,0,0,0,False
2024-11-17,27,15,0,0,0,False
2024-11-24,19,18,0,0,0,False
2024-12-01,0,0,17,0,0,False
2024-12-08,22,0,0,0,0,False
2024-12-15,0,0,0,0,0,False
2024-12-22,25,0,0,0,0,False
2024-12-29,28,23,0,0,0,False
2025-01-05,35,20,0,0,0,False
2025-01-12,19,16,0,15,0,False
2025-01-19,19,0,0,0,0,False
2025-01-26,20,26,18,16,0,False
2025-02-02,35,26,16,0,0,False
2025-02-09,45,0,16,0,0,False
2025-02-16,38,26,15,0,15,False
2025-02-23,34,27,0,0,0,False
2025-03-02,28,25,15,0,0,False
2025-03-09,35,17,0,0,0,False
2025-03-16,33,29,22,0,0,False
2025-03-23,47,18,0,0,0,False
2025-03-30,49,16,0,16,0,False
2025-04-06,54,20,0,0,20,False
2025-04-13,37,15,0,0,15,False
2025-04-20,35,24,0,0,0,False
2025-04-27,50,27,0,0,0,False
2025-05-04,48,21,0,23,0,False
2025-05-11,36,22,0,0,0,False
2025-05-18,46,26,0,0,20,False
2025-05-25,46,29,16,0,0,False
2025-06-01,56,33,0,0,0,False
2025-06-08,35,26,0,0,0,False
2025-06-15,36,24,0,0,0,False
2025-06-22,30,27,0,0,16,False
2025-06-29,45,27,0,0,0,False
2025-07-06,51,20,0,0,17,False
2025-07-13,40,29,20,0,0,False
2025-07-20,42,31,16,0,18,False
2025-07-27,49,23,17,0,24,False
2025-08-03,59,31,16,24,19,False
2025-08-10,57,0,22,0,30,False
2025-08-17,49,29,16,0,0,False
2025-08-24,48,21,21,0,20,False
2025-08-31,50,21,21,0,17,False
2025-09-07,39,29,18,0,25,False
2025-09-14,33,21,0,16,15,False
2025-09-21,26,18,16,0,17,False
2025-09-28,41,17,19,0,0,False
2025-10-05,26,20,22,0,19,False
2025-10-12,37,0,25,0,0,False
2025-10-19,42,21,16,0,21,False
2025-10-26,24,18,19,0,16,False
2025-11-02,31,29,19,0,0,False
2025-11-09,21,22,20,0,0,False
2025-11-16,22,20,0,0,0,False
2025-11-23,29,20,19,0,0,False
2025-11-30,32,30,16,0,0,False
2025-12-07,27,18,35,0,0,False
2025-12-14,35,0,18,0,0,False
2025-12-21,34,0,17,0,0,False
2025-12-28,35,19,0,0,0,False
2026-01-04,33,25,0,0,0,False
2026-01-11,35,20,18,0,0,False
2026-01-18,44,15,19,0,0,False
2026-01-25,46,0,0,0,0,False
2026-02-01,30,19,16,0,0,False
2026-02-08,40,25,16,0,15,False
2026-02-15,54,34,14,16,0,False
2026-02-22,38,29,17,0,17,False
2026-03-01,34,25,17,15,19,False
2026-03-08,49,29,25,0,20,False
2026-03-15,46,23,20,17,22,False
2026-03-22,56,36,16,0,19,False
2026-03-29,68,57,27,27,20,False
2026-04-05,62,77,27,20,33,False
2026-04-12,71,75,39,28,26,False
2026-04-19,63,56,28,16,21,False
2026-04-26,69,44,32,21,21,False
2026-05-03,43,28,15,20,0,False
2026-05-10,75,59,17,15,23,False
2026-05-17,79,78,20,16,37,False
2026-05-24,100,32,18,21,20,False
2026-05-31,80,52,24,0,19,False
2026-06-07,67,42,25,19,32,False
2026-06-14,70,55,20,0,21,False
2026-06-21,53,49,18,0,23,False
2026-06-28,58,35,17,25,24,False
2026-07-05,60,29,0,19,0,False
2026-07-12,49,24,0,31,19,False
2026-07-19,39,29,0,21,22,False
2026-07-26,34,31,16,0,27,False
2026-08-02,29,25,22,0,23,False
2026-08-09,34,0,0,0,23,False
2026-08-16,41,30,18,0,0,False
2026-08-23,35,27,8,7,6,False
2026-08-30,39,26,13,13,16,False
2026-09-06,34,26,13,9,12,True
