date,concrete driveway,pavers,concrete contractor,paver sealing,stamped concrete,isPartial
2021-09-05,0,73,0,0,7,False
2021-09-12,9,83,0,0,0,False
2021-09-19,9,77,0,0,0,False
2021-09-26,10,69,0,8,0,False
2021-10-03,12,79,0,0,0,False
2021-10-10,15,68,0,0,0,False
2021-10-17,13,73,0,0,0,False
2021-10-24,11,61,0,0,0,False
2021-10-31,10,80,0,0,0,False
2021-11-07,0,52,0,0,0,False
2021-11-14,10,71,0,0,0,False
2021-11-21,0,53,0,0,0,False
2021-11-28,0,54,0,0,0,False
2021-12-05,8,53,0,0,0,False
2021-12-12,11,58,0,0,0,False
2021-12-19,8,33,0,0,0,False
2021-12-26,0,54,0,0,0,False
2022-01-02,0,60,0,0,0,False
2022-01-09,8,76,0,9,0,False
2022-01-16,0,70,0,0,0,False
2022-01-23,0,55,0,0,0,False
2022-01-30,15,54,0,0,0,False
2022-02-06,8,61,0,0,0,False
2022-02-13,11,75,0,6,0,False
2022-02-20,9,74,0,0,0,False
2022-02-27,9,75,0,0,0,False
2022-03-06,0,74,0,0,0,False
2022-03-13,12,74,0,0,0,False
2022-03-20,13,83,0,0,0,False
2022-03-27,8,79,0,0,0,False
2022-04-03,9,82,0,0,0,False
2022-04-10,8,72,0,0,0,False
2022-04-17,0,79,0,0,0,False
2022-04-24,16,92,0,0,0,False
2022-05-01,10,83,0,0,0,False
2022-05-08,9,75,0,0,0,False
2022-05-15,10,82,0,0,0,False
2022-05-22,7,78,0,0,0,False
2022-05-29,10,67,0,0,0,False
2022-06-05,0,72,0,0,0,False
2022-06-12,9,78,0,0,0,False
2022-06-19,0,84,0,0,0,False
2022-06-26,7,75,0,0,0,False
2022-07-03,0,71,0,0,0,False
2022-07-10,9,75,0,0,0,False
2022-07-17,8,65,0,0,0,False
2022-07-24,11,68,0,0,0,False
2022-07-31,11,63,0,0,0,False
2022-08-07,8,65,0,0,0,False
2022-08-14,7,71,0,0,0,False
2022-08-21,6,67,0,0,0,False
2022-08-28,7,67,0,0,0,False
2022-09-04,0,62,0,0,0,False
2022-09-11,8,60,0,0,0,False
2022-09-18,6,64,0,0,0,False
2022-09-25,0,37,0,0,0,False
2022-10-02,0,64,0,0,0,False
2022-10-09,7,62,0,0,0,False
2022-10-16,0,69,0,0,0,False
2022-10-23,0,58,0,0,0,False
2022-10-30,0,52,0,0,0,False
2022-11-06,0,47,0,0,0,False
2022-11-13,7,45,0,0,0,False
2022-11-20,0,35,0,0,0,False
2022-11-27,6,51,0,0,0,False
2022-12-04,0,59,9,0,0,False
2022-12-11,0,52,0,0,0,False
2022-12-18,0,39,0,0,0,False
2022-12-25,0,43,0,0,0,False
2023-01-01,0,62,0,0,0,False
2023-01-08,9,63,0,0,0,False
2023-01-15,8,53,0,7,0,False
2023-01-22,10,70,0,0,0,False
2023-01-29,0,65,0,0,0,False
2023-02-05,8,63,0,0,0,False
2023-02-12,11,61,0,0,0,False
2023-02-19,8,69,0,0,0,False
2023-02-26,9,72,0,0,0,False
2023-03-05,9,68,0,0,0,False
2023-03-12,8,68,0,0,0,False
2023-03-19,8,72,0,0,0,False
2023-03-26,0,78,0,7,0,False
2023-04-02,9,73,0,0,6,False
2023-04-09,0,68,0,0,0,False
2023-04-16,7,77,0,0,8,False
2023-04-23,7,79,0,0,0,False
2023-04-30,11,76,0,0,0,False
2023-05-07,14,73,0,0,0,False
2023-05-14,12,83,0,0,0,False
2023-05-21,9,71,0,0,0,False
2023-05-28,11,72,0,0,0,False
2023-06-04,0,80,0,0,0,False
2023-06-11,12,75,0,0,0,False
2023-06-18,0,63,0,0,0,False
2023-06-25,8,66,0,0,0,False
2023-07-02,0,63,0,0,0,False
2023-07-09,0,61,0,0,0,False
2023-07-16,7,55,0,0,0,False
2023-07-23,9,58,0,0,0,False
2023-07-30,0,56,0,0,0,False
2023-08-06,8,58,0,0,0,False
2023-08-13,0,51,0,0,0,False
2023-08-20,9,63,0,0,0,False
2023-08-27,8,52,0,0,0,False
2023-09-03,0,57,0,0,0,False
2023-09-10,8,54,0,0,0,False
2023-09-17,0,60,0,0,0,False
2023-09-24,7,53,0,0,0,False
2023-10-01,0,56,0,0,0,False
2023-10-08,9,62,0,0,0,False
2023-10-15,12,68,0,0,0,False
2023-10-22,10,59,0,0,0,False
2023-10-29,12,70,0,0,0,False
2023-11-05,12,63,0,0,0,False
2023-11-12,9,46,0,0,0,False
2023-11-19,7,39,0,0,0,False
2023-11-26,0,48,0,0,0,False
2023-12-03,0,55,0,0,0,False
2023-12-10,9,46,0,0,0,False
2023-12-17,0,39,0,0,0,False
2023-12-24,0,33,0,0,0,False
2023-12-31,8,39,0,0,0,False
2024-01-07,0,51,0,0,0,False
2024-01-14,0,39,0,0,0,False
2024-01-21,9,50,0,0,0,False
2024-01-28,0,58,0,0,7,False
2024-02-04,0,60,0,0,0,False
2024-02-11,8,54,0,0,0,False
2024-02-18,9,59,0,0,0,False
