,query,value
0,pool resurfacing port st lucie griffin dynasty pools and pavers,11300
1,pool resurfacing stuart griffin dynasty pools and pavers,8050
2,pool resurfacing jupiter griffin dynasty pools and pavers,7150
3,coastal patio pavers jacksonville,5250
4,pool resurfacing west palm beach griffin dynasty pools and pavers,550
5,polymeric sand for pavers,200
6,how much does a pallet of pavers weigh,130
7,polymeric sand,120
8,what are pavers,100
9,porcelain pavers,90
10,tricircle pavers,80
11,big pavers,70
12,24x24 pavers,70
13,large pavers,60
14,24 x 24 pavers,60
15,sand for pavers,50
16,gray pavers,50
17,large concrete pavers,40
18,install brick pavers,40
19,floor and decor,40
