,query,value
0,concrete driveway cost,100
1,driveway repair,70
2,concrete driveway repair,69
3,concrete driveway paint,59
4,concrete paint,59
5,driveway paint,58
6,concrete near me,50
7,driveway pavers,49
8,concrete driveway pavers,49
9,pavers,49
10,cost of concrete driveway,33
11,concrete sealer,31
12,concrete driveway sealer,31
13,driveway sealer,31
14,concrete driveway stain,29
15,concrete driveway cleaner,29
16,concrete driveway contractors,27
17,asphalt driveway,27
18,how much for concrete driveway,20
19,stamped concrete driveway,19
20,concrete driveway ideas,17
21,gravel driveway,17
22,how much does a concrete driveway cost,15
23,concrete contractors near me,11
24,concrete driveway contractor,11
