,query,value
0,driveway repair,100
1,concrete crack repair,91
2,concrete repair near me,53
3,concrete slab repair,42
4,concrete wall repair,38
5,concrete repair orlando,38
6,concrete floor repair,36
7,concrete repair epoxy,33
8,concrete foundation repair,30
9,concrete repair kit,27
10,quikrete concrete repair,15
11,sika concrete repair,11
12,which of these is an example of a natural monopoly? electricity service grocery delivery retail store security driveway concrete repair,8
13,quikrete epoxy concrete repair,3
14,waygo concrete repair,3
