,query,value
0,concrete pavers,100
1,brick pavers,76
2,patio pavers,68
3,pavers near me,66
4,pavers driveway,62
5,pavers orlando,60
6,pool pavers,59
7,pavers depot,51
8,pavers home depot,42
9,stone pavers,41
10,lowes pavers,39
11,seal pavers,34
12,outdoor pavers,30
13,flagstone pavers,26
14,sand for pavers,24
15,travertine pavers,24
16,pavers sealer,23
17,tremron pavers,22
18,pavers sealing,22
19,pavers for sale,22
20,belgard,21
21,belgard pavers,21
22,white pavers,21
23,garden pavers,17
24,pool deck pavers,16
