,query,value
0,pool deck paint,100
1,concrete pool deck,85
2,above ground pool deck,56
3,above ground pool,56
4,pool deck drain,44
5,pool deck ideas,41
6,pool deck pavers,40
7,pool resurfacing,39
8,pool deck resurfacing,39
9,travertine pool deck,30
10,pool deck repair,28
11,paint for pool deck,25
12,pool deck tile,24
13,pool deck colors,22
14,concrete pool deck paint,21
15,pool deck coating,20
16,pool deck cleaning,20
17,acrylic pool deck,14
18,pool deck box,13
19,best pool deck paint,13
20,sherwin williams pool deck paint,13
21,pool deck paint colors,12
22,pavers for pool deck,11
23,pool deck storage,11
24,epoxy pool deck,10
