,query,value
0,travertine tile,100
1,travertine pavers,49
2,travertine stone,35
3,travertine table,32
4,travertine floor,32
5,what is travertine,17
6,travertine tiles,16
7,travertine floor tile,16
8,travertine floors,15
9,travertine paver,14
10,travertine coffee table,14
11,travertine flooring,13
12,travertine pool pavers,11
13,travertine near me,11
14,travertine sealer,10
15,travertine cleaner,10
16,travertine tile pool,10
17,travertine coping,10
18,ivory travertine,9
19,travertine stone tile,9
20,how to clean travertine,8
21,travertine bathroom,8
22,french pattern travertine,7
23,limestone,7
24,travertine pool coping,6
